Id,rank_test_score,mean_test_score,std_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score
6,1,0.9260521837655669,0.001967177208528777,3.6079861640930178,0.2988761963716838,0.01691737174987793,0.0024265125990676193,0.3,{'learning_rate': 0.3},0.9234519592249855,0.9240358149838883,0.9266809241207186,0.9283421001524725,0.9277501203457695
7,2,0.9259172554828916,0.0013172645987904862,3.9690744876861572,0.4729812702460522,0.018082523345947267,0.003929101846582476,0.35,{'learning_rate': 0.35},0.9251142536974305,0.9237610251590516,0.926685380920762,0.9274551311717236,0.9265704864654912
5,3,0.9258460811550251,0.0014863827274136559,4.276343154907226,0.9927952938914754,0.016594123840332032,0.0012226569978458478,0.25,{'learning_rate': 0.25},0.9240031526274477,0.9241304454474097,0.9264901859971219,0.9274532588394742,0.9271533628636714
9,4,0.9255998980385941,0.0016050582048416741,3.786647844314575,0.4682242172846688,0.017475366592407227,0.002351123148284841,0.45,{'learning_rate': 0.45},0.9242875604189045,0.9233108526811535,0.9266435903464418,0.9277616125919896,0.9259958741544805
8,5,0.925481194440786,0.0018300752340333077,3.7331645011901857,0.2938383727790135,0.01926083564758301,0.0037058221248579136,0.4,{'learning_rate': 0.4},0.9236987343014129,0.9231985354870693,0.9260470250536753,0.9282094873786728,0.9262521899830998
10,6,0.9248673757433477,0.001335286422239638,3.8902705669403077,0.42909206733414157,0.019104719161987305,0.0050731061599280265,0.5,{'learning_rate': 0.5},0.9248331379616623,0.9223511216227381,0.9261388738893527,0.9257785544871926,0.9252351907557921
4,7,0.9246859645259928,0.0021551734008942646,3.6236336708068846,0.42444601142959637,0.018101310729980467,0.003678277216065286,0.2,{'learning_rate': 0.2},0.9225850512269687,0.9217209188837479,0.9264132577528943,0.9272101784629624,0.9255004163033911
3,8,0.9199834129709507,0.002680741279229663,3.63303165435791,0.2792971459776314,0.020210409164428712,0.004854683701337202,0.1,{'learning_rate': 0.1},0.9174909500743618,0.9162026589481946,0.9208637666031949,0.9224465132783221,0.92291317595068
2,9,0.9129390911300999,0.0028866191338889334,3.874395513534546,0.44103429730951854,0.019494915008544923,0.0026481494860984096,0.05,{'learning_rate': 0.05},0.9108737244897959,0.9084894370197472,0.9137434149164576,0.9152266709984257,0.9163622082260723
1,10,0.9021528951416083,0.003790700249932563,3.7478036403656008,0.4791873583801705,0.02020726203918457,0.0021202634271660255,0.02,{'learning_rate': 0.02},0.8975256651243494,0.8979332345286293,0.9036680110270277,0.9045040178958808,0.9071335471321551
0,11,0.8917478475203673,0.0037088923626265565,4.576047277450561,1.444914600132435,0.021091651916503907,0.005505216020781766,0.01,{'learning_rate': 0.01},0.8864546109435677,0.8884748357845162,0.8946386633216983,0.8929142812723391,0.8962568462797147
