Id,rank_test_score,mean_test_score,std_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score
1,1,0.8521733912724668,0.00742917642573764,0.6460682392120362,0.03116856349674883,0.009463024139404298,0.0001779946568569803,newton-cg,{'solver': 'newton-cg'},0.8407267309757911,0.8493758004213832,0.8519027306620092,0.8554498814103491,0.8634118128928024
4,2,0.8521473410399366,0.0074816723948581965,2.6277907848358155,0.675290458121031,0.009326696395874023,0.0017041061365419192,lbfgs,{'solver': 'lbfgs'},0.8405657429976039,0.8493732184169214,0.8519124193577557,0.8554709290073592,0.8634143954200428
0,3,0.8521088957604019,0.007386874913582074,0.26894712448120117,0.022842363442290285,0.009057378768920899,0.0007776790060043527,liblinear,{'solver': 'liblinear'},0.8407654610427168,0.8493708946129059,0.8518058437045437,0.8552323034903373,0.8633699759515064
2,4,0.8520534017329069,0.007427129188379829,8.844523191452026,3.142797691205158,0.009157037734985352,0.0010325436558189021,sag,{'solver': 'sag'},0.8406140264810378,0.8492735530446998,0.8517416399473968,0.8553469676998153,0.8632908214915852
3,5,0.8519290739411213,0.0074233816104153595,12.229206943511963,1.2438540072646853,0.011233663558959961,0.0034247812696863813,saga,{'solver': 'saga'},0.8404942214740145,0.849172854870693,0.8515824869719337,0.8552363064075599,0.8631594999814057
